timestamp,temperature,humidity,pressure,anomaly,anomaly_type,rule_missing_temperature,rule_temp_frozen,rule_temp_drift,rule_anomaly,rule_anomaly_type
2024-01-06 14:00:00,8.4,96,1020.4,0,normal,0,0,0,0,normal
2024-01-06 15:00:00,7.5,97,1020.5,0,normal,0,0,0,0,normal
2024-01-06 16:00:00,6.9,97,1020.7,0,normal,0,0,0,0,normal
2024-01-06 17:00:00,6.3,99,1020.6,0,normal,0,0,0,0,normal
2024-01-06 18:00:00,5.9,99,1020.6,0,normal,0,0,0,0,normal
2024-01-06 19:00:00,5.7,99,1020.5,0,normal,0,0,0,0,normal
2024-01-06 20:00:00,6.0,99,1020.4,0,normal,0,0,0,0,normal
2024-01-06 21:00:00,6.0,98,1020.5,0,normal,0,0,0,0,normal
2024-01-06 22:00:00,5.8,99,1020.2,0,normal,0,0,0,0,normal
2024-01-06 23:00:00,5.3,98,1020.5,0,normal,0,0,0,0,normal
2024-01-07 00:00:00,5.2,98,1020.4,0,normal,0,0,0,0,normal
2024-01-07 01:00:00,5.3,98,1021.0,0,normal,0,0,0,0,normal
2024-01-07 02:00:00,5.4,98,1021.7,0,normal,0,0,0,0,normal
2024-01-07 03:00:00,7.2,100,1023.1,0,normal,0,0,0,0,normal
2024-01-07 04:00:00,6.5,96,1023.5,0,normal,0,0,0,0,normal
2024-01-07 05:00:00,7.3,96,1024.2,0,normal,0,0,0,0,normal
2024-01-07 06:00:00,8.6,95,1024.4,0,normal,0,0,0,0,normal
2024-01-07 07:00:00,11.2,81,1022.7,0,normal,0,0,0,0,normal
2024-01-07 08:00:00,12.9,76,1021.4,0,normal,0,0,0,0,normal
2024-01-07 09:00:00,10.2,87,1021.6,0,normal,0,0,0,0,normal
2024-01-07 10:00:00,14.6,69,1019.6,0,normal,0,0,0,0,normal
2024-01-07 11:00:00,14.2,72,1019.4,0,normal,0,0,0,0,normal
2024-01-07 12:00:00,9.6,84,1021.0,0,normal,0,0,0,0,normal
2024-01-07 13:00:00,9.9,93,1019.4,0,normal,0,0,0,0,normal
2024-01-07 14:00:00,8.3,96,1020.2,0,normal,0,0,0,0,normal
2024-01-07 15:00:00,7.5,97,1020.3,0,normal,0,0,0,0,normal
2024-01-07 16:00:00,6.7,98,1020.6,0,normal,0,0,0,0,normal
2024-01-07 17:00:00,5.8,99,1020.8,0,normal,0,0,0,0,normal
2024-01-07 18:00:00,5.3,100,1020.8,0,normal,0,0,0,0,normal
2024-01-07 19:00:00,5.2,100,1020.7,0,normal,0,0,0,0,normal
2024-01-07 20:00:00,4.5,100,1020.6,0,normal,0,0,0,0,normal
2024-01-07 21:00:00,5.1,99,1020.6,0,normal,0,0,0,0,normal
2024-01-07 22:00:00,5.4,98,1020.9,0,normal,0,0,0,0,normal
2024-01-07 23:00:00,5.5,98,1020.9,0,normal,0,0,0,0,normal
2024-01-08 00:00:00,5.5,98,1020.8,0,normal,0,0,0,0,normal
2024-01-08 01:00:00,5.7,97,1021.2,0,normal,0,0,0,0,normal
2024-01-08 02:00:00,5.5,97,1021.8,0,normal,0,0,0,0,normal
2024-01-08 03:00:00,6.4,100,1023.4,0,normal,0,0,0,0,normal
2024-01-08 04:00:00,6.2,98,1023.2,0,normal,0,0,0,0,normal
2024-01-08 05:00:00,7.3,97,1023.8,0,normal,0,0,0,0,normal
2024-01-08 06:00:00,7.4,97,1024.1,0,normal,0,0,0,0,normal
2024-01-08 07:00:00,12.4,77,1022.0,0,normal,0,0,0,0,normal
2024-01-08 08:00:00,13.7,74,1021.0,0,normal,0,0,0,0,normal
2024-01-08 09:00:00,8.8,95,1021.8,0,normal,0,0,0,0,normal
2024-01-08 10:00:00,14.6,73,1019.5,0,normal,0,0,0,0,normal
2024-01-08 11:00:00,14.7,71,1018.7,0,normal,0,0,0,0,normal
2024-01-08 12:00:00,8.4,95,1020.2,0,normal,0,0,0,0,normal
2024-01-08 13:00:00,9.7,89,1019.0,0,normal,0,0,0,0,normal
2024-01-08 14:00:00,8.2,93,1019.3,0,normal,0,0,0,0,normal
2024-01-08 15:00:00,7.3,95,1019.5,0,normal,0,0,0,0,normal
2024-01-08 16:00:00,6.5,96,1020.3,0,normal,0,0,0,0,normal
2024-01-08 17:00:00,6.0,98,1020.5,0,normal,0,0,0,0,normal
2024-01-08 18:00:00,4.9,100,1020.5,0,normal,0,0,0,0,normal
2024-01-08 19:00:00,4.9,100,1020.3,0,normal,0,0,0,0,normal
2024-01-08 20:00:00,5.2,99,1020.2,0,normal,0,0,0,0,normal
2024-01-08 21:00:00,5.1,99,1020.6,0,normal,0,0,0,0,normal
2024-01-08 22:00:00,5.3,97,1020.7,0,normal,0,0,0,0,normal
2024-01-08 23:00:00,5.2,97,1020.5,0,normal,0,0,0,0,normal
2024-01-09 00:00:00,5.6,99,1020.7,0,normal,0,0,0,0,normal
2024-01-09 01:00:00,5.9,98,1020.9,0,normal,0,0,0,0,normal
2024-01-09 02:00:00,5.8,93,1021.3,0,normal,0,0,0,0,normal
2024-01-09 03:00:00,8.0,97,1022.4,0,normal,0,0,0,0,normal
2024-01-09 04:00:00,6.7,95,1022.5,0,normal,0,0,0,0,normal
2024-01-09 05:00:00,7.5,94,1023.0,0,normal,0,0,0,0,normal
2024-01-09 06:00:00,8.2,97,1023.6,0,normal,0,0,0,0,normal
2024-01-09 07:00:00,10.3,82,1021.9,0,normal,0,0,0,0,normal
2024-01-09 08:00:00,11.6,75,1020.8,0,normal,0,0,0,0,normal
2024-01-09 09:00:00,9.4,92,1021.7,0,normal,0,0,0,0,normal
2024-01-09 10:00:00,13.2,71,1019.4,0,normal,0,0,0,0,normal
2024-01-09 11:00:00,13.0,72,1019.3,0,normal,0,0,0,0,normal
2024-01-09 12:00:00,10.0,84,1021.0,0,normal,0,0,0,0,normal
2024-01-09 13:00:00,9.2,90,1020.0,0,normal,0,0,0,0,normal
2024-01-09 14:00:00,8.3,92,1020.4,0,normal,0,0,0,0,normal
2024-01-09 15:00:00,7.2,94,1020.7,0,normal,0,0,0,0,normal
2024-01-09 16:00:00,6.4,95,1020.6,0,normal,0,0,0,0,normal
