temperature_threshold,humidity_max_residual,pressure_max_residual,multivariate_detected,multivariate_total,multivariate_recall,accuracy,precision,recall,f1,fpr,TP,FP,FN,TN,added_alerts,baseline_f1,baseline_recall,baseline_fpr
9,5,3.0,4,7,0.5714285714285714,0.994062571363325,0.6186440677966102,0.9125,0.7373737373737373,0.005185526619036644,73,45,7,8633,13,0.745945945945946,0.8625,0.004148421295229315
9,5,5.0,4,7,0.5714285714285714,0.994062571363325,0.6186440677966102,0.9125,0.7373737373737373,0.005185526619036644,73,45,7,8633,13,0.745945945945946,0.8625,0.004148421295229315
9,8,1.0,4,7,0.5714285714285714,0.994062571363325,0.6186440677966102,0.9125,0.7373737373737373,0.005185526619036644,73,45,7,8633,13,0.745945945945946,0.8625,0.004148421295229315
9,10,2.0,5,7,0.7142857142857143,0.9939483900433889,0.6115702479338843,0.925,0.736318407960199,0.005415994468771606,74,47,6,8631,16,0.745945945945946,0.8625,0.004148421295229315
9,10,3.0,5,7,0.7142857142857143,0.9939483900433889,0.6115702479338843,0.925,0.736318407960199,0.005415994468771606,74,47,6,8631,16,0.745945945945946,0.8625,0.004148421295229315
9,10,5.0,5,7,0.7142857142857143,0.9939483900433889,0.6115702479338843,0.925,0.736318407960199,0.005415994468771606,74,47,6,8631,16,0.745945945945946,0.8625,0.004148421295229315
9,15,2.0,5,7,0.7142857142857143,0.9939483900433889,0.6115702479338843,0.925,0.736318407960199,0.005415994468771606,74,47,6,8631,16,0.745945945945946,0.8625,0.004148421295229315
9,15,3.0,5,7,0.7142857142857143,0.9939483900433889,0.6115702479338843,0.925,0.736318407960199,0.005415994468771606,74,47,6,8631,16,0.745945945945946,0.8625,0.004148421295229315
9,15,5.0,5,7,0.7142857142857143,0.9939483900433889,0.6115702479338843,0.925,0.736318407960199,0.005415994468771606,74,47,6,8631,16,0.745945945945946,0.8625,0.004148421295229315
9,2,2.0,2,7,0.2857142857142857,0.994176752683261,0.6283185840707964,0.8875,0.7357512953367875,0.004839824844434202,71,42,9,8636,8,0.745945945945946,0.8625,0.004148421295229315
