temperature_threshold,humidity_max_residual,pressure_max_residual,multivariate_detected,multivariate_total,multivariate_recall,accuracy,precision,recall,f1,fpr,TP,FP,FN,TN,added_alerts,baseline_f1,baseline_recall,baseline_fpr
5,5,2.0,6,7,0.8571428571428571,0.9929207581639644,0.5681818181818182,0.9375,0.7075471698113207,0.0065683337174464165,75,57,5,8621,27,0.745945945945946,0.8625,0.004148421295229315
5,5,3.0,6,7,0.8571428571428571,0.9929207581639644,0.5681818181818182,0.9375,0.7075471698113207,0.0065683337174464165,75,57,5,8621,27,0.745945945945946,0.8625,0.004148421295229315
5,5,5.0,6,7,0.8571428571428571,0.9929207581639644,0.5681818181818182,0.9375,0.7075471698113207,0.0065683337174464165,75,57,5,8621,27,0.745945945945946,0.8625,0.004148421295229315
5,8,1.0,6,7,0.8571428571428571,0.9929207581639644,0.5681818181818182,0.9375,0.7075471698113207,0.0065683337174464165,75,57,5,8621,27,0.745945945945946,0.8625,0.004148421295229315
4,2,2.0,3,7,0.42857142857142855,0.9931491208038364,0.5806451612903226,0.9,0.7058823529411765,0.005992164093109011,72,52,8,8626,19,0.745945945945946,0.8625,0.004148421295229315
5,8,0.5,4,7,0.5714285714285714,0.9930349394839004,0.5748031496062992,0.9125,0.7053140096618358,0.006222631942843973,73,54,7,8624,22,0.745945945945946,0.8625,0.004148421295229315
5,15,1.0,7,7,1.0,0.9926923955240923,0.5588235294117647,0.95,0.7037037037037037,0.006914035492048859,76,60,4,8618,31,0.745945945945946,0.8625,0.004148421295229315
4,2,3.0,3,7,0.42857142857142855,0.9930349394839004,0.576,0.9,0.7024390243902439,0.006107398017976493,72,53,8,8625,20,0.745945945945946,0.8625,0.004148421295229315
4,2,5.0,3,7,0.42857142857142855,0.9930349394839004,0.576,0.9,0.7024390243902439,0.006107398017976493,72,53,8,8625,20,0.745945945945946,0.8625,0.004148421295229315
4,5,0.5,4,7,0.5714285714285714,0.9929207581639644,0.5703125,0.9125,0.7019230769230769,0.006337865867711455,73,55,7,8623,23,0.745945945945946,0.8625,0.004148421295229315
5,10,0.5,4,7,0.5714285714285714,0.9929207581639644,0.5703125,0.9125,0.7019230769230769,0.006337865867711455,73,55,7,8623,23,0.745945945945946,0.8625,0.004148421295229315
4,5,1.0,6,7,0.8571428571428571,0.9926923955240923,0.5597014925373134,0.9375,0.7009345794392523,0.006798801567181378,75,59,5,8619,29,0.745945945945946,0.8625,0.004148421295229315
5,8,2.0,6,7,0.8571428571428571,0.9926923955240923,0.5597014925373134,0.9375,0.7009345794392523,0.006798801567181378,75,59,5,8619,29,0.745945945945946,0.8625,0.004148421295229315
5,8,3.0,6,7,0.8571428571428571,0.9926923955240923,0.5597014925373134,0.9375,0.7009345794392523,0.006798801567181378,75,59,5,8619,29,0.745945945945946,0.8625,0.004148421295229315
5,8,5.0,6,7,0.8571428571428571,0.9926923955240923,0.5597014925373134,0.9375,0.7009345794392523,0.006798801567181378,75,59,5,8619,29,0.745945945945946,0.8625,0.004148421295229315
5,10,2.0,7,7,1.0,0.9925782142041562,0.5547445255474452,0.95,0.7004608294930875,0.00702926941691634,76,61,4,8617,32,0.745945945945946,0.8625,0.004148421295229315
5,10,3.0,7,7,1.0,0.9925782142041562,0.5547445255474452,0.95,0.7004608294930875,0.00702926941691634,76,61,4,8617,32,0.745945945945946,0.8625,0.004148421295229315
5,10,5.0,7,7,1.0,0.9925782142041562,0.5547445255474452,0.95,0.7004608294930875,0.00702926941691634,76,61,4,8617,32,0.745945945945946,0.8625,0.004148421295229315
5,15,0.5,4,7,0.5714285714285714,0.9928065768440283,0.5658914728682171,0.9125,0.6985645933014354,0.006453099792578935,73,56,7,8622,24,0.745945945945946,0.8625,0.004148421295229315
3,2,0.5,2,7,0.2857142857142857,0.9929207581639644,0.5725806451612904,0.8875,0.696078431372549,0.006107398017976493,71,53,9,8625,19,0.745945945945946,0.8625,0.004148421295229315
4,5,2.0,6,7,0.8571428571428571,0.9924640328842201,0.5514705882352942,0.9375,0.6944444444444444,0.00702926941691634,75,61,5,8617,31,0.745945945945946,0.8625,0.004148421295229315
5,15,2.0,7,7,1.0,0.9923498515642841,0.5467625899280576,0.95,0.6940639269406392,0.007259737266651302,76,63,4,8615,34,0.745945945945946,0.8625,0.004148421295229315
4,5,3.0,6,7,0.8571428571428571,0.9923498515642841,0.5474452554744526,0.9375,0.6912442396313364,0.007144503341783821,75,62,5,8616,32,0.745945945945946,0.8625,0.004148421295229315
4,5,5.0,6,7,0.8571428571428571,0.9923498515642841,0.5474452554744526,0.9375,0.6912442396313364,0.007144503341783821,75,62,5,8616,32,0.745945945945946,0.8625,0.004148421295229315
3,2,1.0,3,7,0.42857142857142855,0.9925782142041562,0.5581395348837209,0.9,0.6889952153110048,0.0065683337174464165,72,57,8,8621,24,0.745945945945946,0.8625,0.004148421295229315
4,8,0.5,4,7,0.5714285714285714,0.9923498515642841,0.5488721804511278,0.9125,0.6854460093896714,0.006914035492048859,73,60,7,8618,28,0.745945945945946,0.8625,0.004148421295229315
5,15,3.0,7,7,1.0,0.9920073076044759,0.5352112676056338,0.95,0.6846846846846847,0.0076054390412537455,76,66,4,8612,37,0.745945945945946,0.8625,0.004148421295229315
5,15,5.0,7,7,1.0,0.9920073076044759,0.5352112676056338,0.95,0.6846846846846847,0.0076054390412537455,76,66,4,8612,37,0.745945945945946,0.8625,0.004148421295229315
4,10,0.5,4,7,0.5714285714285714,0.992235670244348,0.5447761194029851,0.9125,0.6822429906542056,0.00702926941691634,73,61,7,8617,29,0.745945945945946,0.8625,0.004148421295229315
3,2,2.0,3,7,0.42857142857142855,0.992121488924412,0.5413533834586466,0.9,0.676056338028169,0.00702926941691634,72,61,8,8617,28,0.745945945945946,0.8625,0.004148421295229315
3,5,0.5,4,7,0.5714285714285714,0.9918931262845398,0.5328467153284672,0.9125,0.6728110599078341,0.007374971191518783,73,64,7,8614,32,0.745945945945946,0.8625,0.004148421295229315
4,15,0.5,4,7,0.5714285714285714,0.9918931262845398,0.5328467153284672,0.9125,0.6728110599078341,0.007374971191518783,73,64,7,8614,32,0.745945945945946,0.8625,0.004148421295229315
4,8,1.0,6,7,0.8571428571428571,0.9916647636446677,0.5244755244755245,0.9375,0.672645739910314,0.007835906890988707,75,68,5,8610,38,0.745945945945946,0.8625,0.004148421295229315
4,10,1.0,7,7,1.0,0.9915505823247317,0.5205479452054794,0.95,0.672566371681416,0.00806637474072367,76,70,4,8608,41,0.745945945945946,0.8625,0.004148421295229315
3,2,3.0,3,7,0.42857142857142855,0.9918931262845398,0.5333333333333333,0.9,0.6697674418604651,0.007259737266651302,72,63,8,8615,30,0.745945945945946,0.8625,0.004148421295229315
3,2,5.0,3,7,0.42857142857142855,0.9918931262845398,0.5333333333333333,0.9,0.6697674418604651,0.007259737266651302,72,63,8,8615,30,0.745945945945946,0.8625,0.004148421295229315
3,5,1.0,6,7,0.8571428571428571,0.9912080383649235,0.5102040816326531,0.9375,0.6607929515418502,0.00829684259045863,75,72,5,8606,42,0.745945945945946,0.8625,0.004148421295229315
4,8,2.0,6,7,0.8571428571428571,0.9910938570449874,0.5067567567567568,0.9375,0.6578947368421053,0.008412076515326113,75,73,5,8605,43,0.745945945945946,0.8625,0.004148421295229315
4,15,1.0,7,7,1.0,0.9907513130851793,0.49673202614379086,0.95,0.6523605150214592,0.008873012214796036,76,77,4,8601,48,0.745945945945946,0.8625,0.004148421295229315
3,8,0.5,4,7,0.5714285714285714,0.9908654944051153,0.5,0.9125,0.6460176991150443,0.008412076515326113,73,73,7,8605,41,0.745945945945946,0.8625,0.004148421295229315
4,10,2.0,7,7,1.0,0.9904087691253711,0.48717948717948717,0.95,0.6440677966101694,0.00921871398939848,76,80,4,8598,51,0.745945945945946,0.8625,0.004148421295229315
4,8,3.0,6,7,0.8571428571428571,0.9905229504453071,0.49019607843137253,0.9375,0.6437768240343348,0.008988246139663517,75,78,5,8600,48,0.745945945945946,0.8625,0.004148421295229315
4,8,5.0,6,7,0.8571428571428571,0.9905229504453071,0.49019607843137253,0.9375,0.6437768240343348,0.008988246139663517,75,78,5,8600,48,0.745945945945946,0.8625,0.004148421295229315
3,10,0.5,4,7,0.5714285714285714,0.9900662251655629,0.477124183006536,0.9125,0.6266094420600858,0.00921871398939848,73,80,7,8598,48,0.745945945945946,0.8625,0.004148421295229315
4,10,3.0,7,7,1.0,0.9896094998858187,0.4662576687116564,0.95,0.6255144032921811,0.010025351463470845,76,87,4,8591,58,0.745945945945946,0.8625,0.004148421295229315
4,10,5.0,7,7,1.0,0.9896094998858187,0.4662576687116564,0.95,0.6255144032921811,0.010025351463470845,76,87,4,8591,58,0.745945945945946,0.8625,0.004148421295229315
3,5,2.0,6,7,0.8571428571428571,0.9897236812057547,0.46875,0.9375,0.625,0.009794883613735884,75,85,5,8593,55,0.745945945945946,0.8625,0.004148421295229315
3,5,3.0,6,7,0.8571428571428571,0.9893811372459466,0.4601226993865031,0.9375,0.6172839506172839,0.010140585388338327,75,88,5,8590,58,0.745945945945946,0.8625,0.004148421295229315
3,5,5.0,6,7,0.8571428571428571,0.9892669559260105,0.4573170731707317,0.9375,0.6147540983606558,0.010255819313205808,75,89,5,8589,59,0.745945945945946,0.8625,0.004148421295229315
3,8,1.0,6,7,0.8571428571428571,0.9891527746060744,0.45454545454545453,0.9375,0.6122448979591837,0.010371053238073288,75,90,5,8588,60,0.745945945945946,0.8625,0.004148421295229315
4,15,2.0,7,7,1.0,0.988239324046586,0.4342857142857143,0.95,0.596078431372549,0.011408158561880618,76,99,4,8579,70,0.745945945945946,0.8625,0.004148421295229315
3,10,1.0,7,7,1.0,0.9880109614067139,0.4293785310734463,0.95,0.5914396887159533,0.01163862641161558,76,101,4,8577,72,0.745945945945946,0.8625,0.004148421295229315
3,15,0.5,4,7,0.5714285714285714,0.9876684174469057,0.41954022988505746,0.9125,0.5748031496062992,0.01163862641161558,73,101,7,8577,69,0.745945945945946,0.8625,0.004148421295229315
4,15,3.0,7,7,1.0,0.9869833295272893,0.40860215053763443,0.95,0.5714285714285714,0.01267573173542291,76,110,4,8568,81,0.745945945945946,0.8625,0.004148421295229315
4,15,5.0,7,7,1.0,0.9868691482073533,0.40641711229946526,0.95,0.5692883895131086,0.01279096566029039,76,111,4,8567,82,0.745945945945946,0.8625,0.004148421295229315
3,8,2.0,6,7,0.8571428571428571,0.986184060287737,0.39267015706806285,0.9375,0.5535055350553506,0.013367135284627794,75,116,5,8562,86,0.745945945945946,0.8625,0.004148421295229315
3,8,3.0,6,7,0.8571428571428571,0.9851564284083124,0.375,0.9375,0.5357142857142857,0.014404240608435124,75,125,5,8553,95,0.745945945945946,0.8625,0.004148421295229315
3,8,5.0,6,7,0.8571428571428571,0.9849280657684403,0.3712871287128713,0.9375,0.5319148936170213,0.014634708458170085,75,127,5,8551,97,0.745945945945946,0.8625,0.004148421295229315
3,10,2.0,7,7,1.0,0.9841287965288879,0.36018957345971564,0.95,0.5223367697594502,0.015556579857109933,76,135,4,8543,106,0.745945945945946,0.8625,0.004148421295229315
3,10,3.0,7,7,1.0,0.9828728020095913,0.34234234234234234,0.95,0.5033112582781457,0.016824153030652225,76,146,4,8532,117,0.745945945945946,0.8625,0.004148421295229315
3,10,5.0,7,7,1.0,0.9826444393697191,0.3392857142857143,0.95,0.5,0.017054620880387186,76,148,4,8530,119,0.745945945945946,0.8625,0.004148421295229315
3,15,1.0,7,7,1.0,0.982301895409911,0.33480176211453744,0.95,0.495114006514658,0.017400322654989628,76,151,4,8527,122,0.745945945945946,0.8625,0.004148421295229315
3,15,2.0,7,7,1.0,0.974537565654259,0.2576271186440678,0.95,0.4053333333333333,0.025236229545978334,76,219,4,8459,190,0.745945945945946,0.8625,0.004148421295229315
3,15,3.0,7,7,1.0,0.97248230189541,0.24281150159744408,0.95,0.38676844783715014,0.027310440193592994,76,237,4,8441,208,0.745945945945946,0.8625,0.004148421295229315
3,15,5.0,7,7,1.0,0.9721397579356017,0.24050632911392406,0.95,0.3838383838383838,0.027656141968195436,76,240,4,8438,211,0.745945945945946,0.8625,0.004148421295229315
